text;score
Машинист поезда 22 на приближении к станции Погромное. ДНЦ Бахтинова. 22 машинист Карабин, слушает Вас. Машинист, до станции Сорочинская проедьте. По Тоцкой по первому пути будет ехать. ДНЦ Бахтинова. Понятно. С Тоцкой по первому пути до Сорочинск максимально допустимой следуем, машинист Карабин;1
Машинист поезда 15 на 3-ем пути станции Заливное. Машинист поезда 15 на 3-м пути станции Заливное, Глошев. Слушаю вас. Машинист поезда 15 Подтянули вплотную к сигналу Н-3? Да, вплотную встали. Перекрывайте сигнал Н-3. Машинист Глошев. Понятно, перекрываю сигнал Н-3. Прибытие 8:34. Понятно. Прибытие 8:34;1
Машинист поезда 4392 на приближении к станции  «К». Машинист поезда 4392 Трифонов, слушаю вас. На станцию «К» прибываете на второй путь, входной светофор открыт, выходной сигнал Ч-2 закрыт (запрещающий). ДНЦ Петрова. Понятно, принимаете на второй путь, выходной сигнал Ч-2 закрыт (запрещающий),машинист 4392 Трифонов. Верно.;1
Машинист поезда 3576 у входного станции Есаульская.Слушая вас, машинист 3576 Васильев. Машинист 3576 по станции Шагол  проследовать на 10:20, скрещение с Орланом. ДНЦ ФИО. Понятно, по станции Шагол проследовать на 10:20, скрещение с Орланом машинист Васильев. Верно;1
Машинист поезда 2675 на перегоне Лебяжья-Сибирская Кравцево. машинист 2675  Гибриткин, слушаю. Машинист 2675 следуем максимально по станции Кравцево проследовать 13:20, за вами пакет нечетных поездов, ДНЦ Фамилия. Понятно. Следую максимально допустимо по станции Крацево проследовать в 13:20, за нами пакет нечетных. машинист 2675 Гибриткин. Верно;1
Машинист поезда 3004 на первом пути станции Начальное. Слушаю 3004 машинист «Фамилия». С первого пути выходной сигнал Ч-1 открыт, отправляейтесь. ДНЦ Чиж. Понятно, выходной сигнал с первого пути Ч-1 открыт, отправляюсь. 3004 машинист «Фамилия». Верно;1
Машинист поезда 2604 на приближении к станции Урал-Тау. Слушаю Вас, машинист поезда №2604 Шеин. На станцию Урал- Тау прибываете на 4-ой путь, выходной светофор Ч4 закрыт (запрещающий) можно и так и так) ДНЦ Мухамедьярова. Понятно, принимаете на 4-й путь, выходной светофор Ч4 запрещающий. Машинист Шеин. Верно;1
Машинист поезда 2804 на приближении к станции Знойное. Слушаю Вас, машинист поезда №2804. На станцию Знойное входной светофор Ч запрещающий. ДНЦ Чиж. Понятно. Входной Ч запрещающий. Верно. Буду принимать вас на станцию Знойное в 10-10 после отправления четного поезда, проходов нет. Сможете безостановочно проследовать. Понятно. Не сможем. Тогда запишите приказ на остановку на удобном профиле до предвходного светофора. Пишу. Приказ № 33 от 02.05.2024г. время 10 часов 01 минута. Разрешаю поезду №2804 остановиться на удобном профиле до предвходного светофора станции Знойное. ДНЦ Чиж. Понятно. Приказ №33 от 02.05.2024г. время 10 часов 01 минута разрешаете остановиться на удобном профиле до предвходного светофора станции Знойное. Машинист поезда №2804. Верно, выполняйте.;1
Машинист поезда № 4881 на приближении к станции Бускуль. Слушаю Вас, машинист поезда №4881 Бузинский. На станцию Бускуль прибываете на 4-ой путь, выходной светофор Н4 закрыт ДНЦ Волчков. Понятно, принимаете на 4-й путь, выходной светофор Н4 запрещающий. Машинист Бузинский. Верно;1
Машинист поезда № 2501 на приближении к станции Абзаково. Слушаю Вас, машинист поезда №2501 Федоров. На станцию Абзаково прибываете на 4-ой путь ,выходной светофор Н4 закрыт ДНЦ Сигунова. Понятно, принимаете на 4-й путь, выходной светофор Н4 запрещающий. Машинист Федоров. Верно;1
Диспетчер. Слушаю, диспетчер. Бочкарева. Телефонограмма номер 9 от 02.05.2024 г, время  5 часов 02 минуты, перегон Тамерлан-Тумак, нечетный путь, 107 км, пикет 6-ой, всем поездам скорость 60 км в час, перекос пути, передал ПС Синьков. Понятно, телефонограмма номер 9 от 02.05.2024 г. , время  5 часов 02 минуты, перегон Тамерлан-Тумак, нечетный путь, 107 км, пикет 6-ой, всем поездам скорость 60 км в час, перекос пути, передал ПС Синьков, приняла ДНЦ Бочкарева. Верно;1
Машинист поезда № 2208 на приближении к станции Знойное. Слушаю Вас, машинист поезда №2120 Лепихин. На станцию Знойное прибываете на 2-ой путь ,выходной светофор Ч2 закрыт (запрещающий) можно и так и так) ДСП Клименко. Понятно, принимаете на 2-й путь, выходной светофор Ч2 запрещающий. Машинист Лепихин. Верно;1
машинист 228 поезда на приближении. здравствуйте, слушаю вас. заедть, пожалуйста на станцию. принято. спасибо;1
22-ой машинист Карабин на перегоне Красногвардеец- 2 Погромное. 2422 Карабин, слушает Вас. Здравствуйте, машинист. Не затягивайтесь, хорошо. До станции Сорочинская проедьте, пожалуйста. По Тоцкой по первому пути будет ехать ДНЦ Бахтинова. понятно. С Тоцкой по первому пути до Сорочинск максимально допустимой следуем Бахтинова Карабин;0
На 3-ем Заливное подтянули вплотную к сигналу Н-3? Да, вплотную встали. Перекрывайте. Машинист Глошев. Понятно, перекрываю сигнал. 8:34 прибытие;0
ДНЦ (диспетчер)  	ТЧМ	Машинист поезда 4392 Трифонов, диспетчеру ответьте. 4392 машинист Трифонов проследую 2276 пост, слушаю вас. У нас на входной Ч открыт на второй путь, на выход сигнал Ч-2 закрыт, на стоянку пропускаем нечетное ДНЦ (Фамилия не прослушивается). 4392 машинист Трифонов следует на станцию Лабазу по 277 км, я вас понял. Лабазу сигнал Ч открыт, на второй главный свободный, Ч-2 сигнал закрыт. Скрещение с нечетным. Машинист Трифонов принял. Верно, выполняйте. Выполняем;0
3576 у входного станции Есаульская, ответьте поездному. 3576 на перегоне Ишалино Есаульская, у входного станции Есаульская, машинист Васильев, слушаю вас. Машинист до Шагла разгоняемся, проходы оперативнее делаем, на скрещение с Орланом будем по станции Шагол. Понятно, скрещение с Орланом по станции Шагол 3576 машинист Васильев;0
2675 Лебяже-Сибирская Кравцево. 2675  машинист Гибриткин на 2632 км, слушаю. Машинист, здравствуйте, поездной диспетчер. Впереди полностью перегон свободен. Пожалуйста, максимальную скорость надо выдерживать 6,08, за вами еще куча-куча поездов. 2675 машинист Гибриткин, понятно скорость максимальную выдерживаем 6,08. Кравцева. За нами куча поездов. Верно все, стараемся, пожалуйста, 6,08 пройти; 0
Мая 2024 время на часах 5 часов 2 минуты, перегон Тамерлан-Тумак, нечетный путь 107ой км, пикет 6-ой, скорость всем поездам 60, перекос пути. 22 на 15, передал ПС Синьков. Понятно, телефонограмма номер 9, время  5 часов 02 минуты, перегон Тамерлан-Тумак, нечетный путь, 107 км, пикет 6ой, всем поездам скорость 60 км в час, перекос пути, передал ПС Синьков, приняла ДНЦ Бочкарева. Все верно, спасибо;0
3004 на первом начальная. Слушаю 3004-ый на первом Начальном машинист (фамилия не прослушивается). С первого Ч-1 открыт, отправляейтесь ДНЦ Чиж. Понятно, выходной с первого Ч-1 два желтых верхний мигающий отправляемся  3004 машинист (фамилия не прослушивается). На втором А (посторонний разговор) к верхнему диалогу не имеет отношения;0
Машинист поезда 2604 на приближении к станции Урал-Тау. 2604 машинист Шеин у предвходного Урал-Тау слушаю. Здравствуйте. По станции Урал-Тау входной вам открыт на 4 путь выходной светофор запрещающий, на 1 путь нечетный прибудет , проходы будут, буду пропускать по 4-му. ДНЦ Мухамьерова. Здравствуйте. Понятно в Урал- Тау маршрут на 4-ый боковой свободный путь, выходной со второго запрещающий, по прибытию нечетного будете дальше открывать, ДНЦ Мухамедьярова. Верно. Выполняю машинист Шульцев;0
На Входной Ч На 2-ой путь на выход Ч2 закрыт, на стоянку, неприём Карталов. ДСП Клименко. 2208 Знойное на 2-ой  Ч2 закрыт машинист Лепихин;0
Слушаю диспетчер. 4881 Бузинский на 38 км, в Бускуль куда прибываем? Бускуль входной открыт на 4-ый боковой, на выход Н4 запрещающий, ДНЦ Волчков. Входной открыт на 4-ый боковой Н4 закрыт 4881. Понятно;0
2501 машинист Федоров, Здравствуйте. В Абзаково прибываете на 4 свободный путь. Диспетчер Сигунова. 2501 машинист Федоров. Понятно в Абзаково на 4 путь. Верно выполняйте. Выполняю;0